School_Number,School_Name,Tested_Count,Level_1,Level_2,Level_3,Level_4,Level_5,Grade,Attend_Rate_Pct,Withdrawals_Pct,Entrants_Pct,FARMS_Pct,Management_type,charter,pass,Enrolled_Count
150,Mary Ann Winterling Elementary at Bentalou,36,12,6,13,5,0,Grade 5,91.7,14.1,21.3,76.7,Traditional,0,18,264
164,Arundel ElementaryMiddle,36,24,9,3,0,0,Grade 4,89.7,15.1,17.1,79.2,Traditional,0,3,343
205,Woodhome ElementaryMiddle,36,11,9,12,4,0,Grade 3,93.6,16.3,17.6,39.3,Traditional,0,16,376
336,Baltimore Montessori Public Charter School,36,14,13,5,4,0,Grade 5,94.8,11.5,5.4,32.5,Charter,1,9,452
11,EutawMarshburn Elementary,37,18,17,0,2,0,Grade 4,92.8,20.2,15.3,85.3,Traditional,0,2,296
13,Tench Tilghman Elementary,37,21,11,3,2,0,Grade 5,97.5,24.1,20.5,78.2,Traditional,0,5,404
39,Dallas F. Nicholas Sr. Elementary,37,15,9,6,4,3,Grade 3,87.7,14.7,17.7,70.9,Traditional,0,13,274
39,Dallas F. Nicholas Sr. Elementary,37,19,15,3,0,0,Grade 5,87.7,14.7,17.7,70.9,Traditional,0,3,274
53,Margaret Brent Elementary,37,18,15,4,0,0,Grade 4,91.3,10.5,15.5,51.8,Traditional,0,4,342
62,Edgecombe Circle Elementary,37,16,12,7,2,0,Grade 5,87.5,41.1,27.3,72.9,Traditional,0,9,293
73,Sarah M. Roach Elementary,37,19,10,8,0,0,Grade 4,89.7,22.4,20.9,75.5,Traditional,0,8,235
73,Sarah M. Roach Elementary,37,17,13,4,3,0,Grade 3,89.7,22.4,20.9,75.5,Traditional,0,7,235
212,Garrett Heights Elementary,37,14,12,9,2,0,Grade 3,90.9,32.9,12.8,55.1,Traditional,0,11,389
217,Belmont Elementary,37,25,6,6,0,0,Grade 4,93.3,15.6,16,78.1,Traditional,0,6,269
256,Calvin M. Rodwell Elementary,37,7,12,8,10,0,Grade 5,92.1,12.5,15.7,62.6,Traditional,0,18,316
11,EutawMarshburn Elementary,38,17,10,8,3,0,Grade 3,92.8,20.2,15.3,85.3,Traditional,0,11,296
58,Dr. Nathan A. PittsAshburton ElementaryMiddle,38,19,13,6,0,0,Grade 5,88,10.9,11.8,59.9,Traditional,0,6,424
67,Edgewood Elementary,38,18,13,7,0,0,Grade 3,90.3,23,22.4,70.6,Traditional,0,7,219
107,Gilmor Elementary,38,14,17,7,0,0,Grade 3,88.2,18.6,26.4,83.3,Traditional,0,7,264
122,The Historic Samuel ColeridgeTaylor Elementary,38,17,13,5,3,0,Grade 3,89.1,20,16.7,78.4,Traditional,0,8,357
144,James Mosher Elementary,38,15,16,7,0,0,Grade 5,89.8,13.5,17.4,79.7,Traditional,0,7,251
201,Dickey Hill ElementaryMiddle,38,4,10,13,11,0,Grade 3,92.8,16.4,24,49.8,Traditional,0,24,383
210,Hazelwood ElementaryMiddle,38,21,13,4,0,0,Grade 5,91.5,20.6,20.6,63.6,Traditional,0,4,465
212,Garrett Heights Elementary,38,22,13,0,3,0,Grade 4,90.9,32.9,12.8,55.1,Traditional,0,3,389
251,Callaway Elementary,38,7,7,15,9,0,Grade 3,91.5,22.9,19.3,70,Traditional,0,24,334
4,Steuart Hill Academic Academy,39,12,10,11,6,0,Grade 3,92.3,28.8,26.3,85.5,Traditional,0,17,275
13,Tench Tilghman Elementary,39,10,14,10,5,0,Grade 3,97.5,24.1,20.5,78.2,Traditional,0,15,404
45,Federal Hill Preparatory School,39,9,8,12,10,0,Grade 3,93.1,12.8,9.5,43.9,Traditional,0,22,339
53,Margaret Brent Elementary,39,13,13,9,4,0,Grade 5,91.3,10.5,15.5,51.8,Traditional,0,13,342
336,Baltimore Montessori Public Charter School,39,11,12,10,6,0,Grade 3,94.8,11.5,5.4,32.5,Charter,1,16,452
95,Franklin Square Elementary,40,18,16,6,0,0,Grade 5,91.8,14.8,16.3,80.7,Traditional,0,6,467
204,Mary E. Rodman Elementary,40,10,10,13,7,0,Grade 4,92,20,23.9,82.1,Traditional,0,20,292
204,Mary E. Rodman Elementary,40,7,11,15,7,0,Grade 3,92,20,23.9,82.1,Traditional,0,22,292
215,Highlandtown Elementary 215,40,4,13,11,12,0,Grade 5,93.4,9.1,18.2,47.8,Traditional,0,23,458
226,Violetville ElementaryMiddle,40,4,13,9,14,0,Grade 4,90.7,10.4,14.7,46.5,Traditional,0,23,420
226,Violetville ElementaryMiddle,40,9,10,10,11,0,Grade 5,90.7,10.4,14.7,46.5,Traditional,0,21,420
34,Charles Carroll Barrister Elementary,41,11,9,11,10,0,Grade 5,94.8,22.9,18.4,57.7,Traditional,0,21,356
88,Lyndhurst Elementary,41,18,17,6,0,0,Grade 5,90.8,12.3,16.3,70.1,Traditional,0,6,377
220,Morrell Park ElementaryMiddle,41,9,14,9,9,0,Grade 3,93.3,10.4,12.9,60.2,Traditional,0,18,424
251,Callaway Elementary,41,11,12,5,13,0,Grade 4,91.5,22.9,19.3,70,Traditional,0,18,334
4,Steuart Hill Academic Academy,42,15,10,13,4,0,Grade 5,92.3,28.8,26.3,85.5,Traditional,0,17,275
16,Johnston Square Elementary,42,27,4,8,3,0,Grade 5,90.5,26.8,22.1,82,Traditional,0,11,336
81,North Bend Elementary,42,10,11,9,12,0,Grade 5,92.9,16.4,13.2,58.2,Traditional,0,21,479
248,Sinclair Lane Elementary,42,17,14,7,4,0,Grade 4,90.1,19.3,22.1,68.7,Traditional,0,11,366
256,Calvin M. Rodwell Elementary,42,9,7,16,10,0,Grade 3,92.1,12.5,15.7,62.6,Traditional,0,26,316
160,Dr. Carter Godwin Woodson,42,22,16,4,0,0,Grade 4,91.4,28.6,18.4,76.4,Traditional,0,4,361
16,Johnston Square Elementary,43,15,13,8,7,0,Grade 3,90.5,26.8,22.1,82,Traditional,0,15,336
45,Federal Hill Preparatory School,43,8,17,11,7,0,Grade 5,93.1,12.8,9.5,43.9,Traditional,0,18,339
220,Morrell Park ElementaryMiddle,43,5,16,13,9,0,Grade 5,93.3,10.4,12.9,60.2,Traditional,0,22,424
229,Holabird Elementary,43,24,16,3,0,0,Grade 4,91.8,16.5,19.6,49.7,Traditional,0,3,470
232,Thomas Jefferson Elementary,43,15,14,10,4,0,Grade 5,93.2,11.5,8.3,55.4,Traditional,0,14,454
