school_number,grade,charter,pass
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 4,1,0
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,1
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
213,Grade 5,1,0
214,Grade 3,0,1
214,Grade 3,0,1
214,Grade 3,0,1
214,Grade 3,0,1
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
214,Grade 3,0,0
